Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,434.25,445.25,430.00,443.20,439.394881170018281535,547,52,240349.00,435,79.52,15.25,8.95
27-June-2024,435.20,448.00,430.00,434.15,439.216926070038910505,1028,61,451515.00,905,88.04,18.00,-1.05
26-June-2024,456.00,456.00,432.00,435.90,442.100095328884652049,1049,91,463763.00,956,91.13,24.00,-20.10
25-June-2024,450.00,459.00,448.00,448.85,450.398126463700234192,427,53,192320.00,391,91.57,11.00,-1.15
24-June-2024,450.00,457.85,438.00,451.55,444.263982102908277404,447,59,198586.00,289,64.65,19.85,1.55
21-June-2024,446.00,455.00,444.55,450.10,450.723997280761386811,1471,56,663015.00,1181,80.29,10.45,4.10
20-June-2024,458.55,471.00,425.05,442.15,441.384095793675161191,6514,237,2875176.00,4779,73.36,45.95,-16.40
19-June-2024,464.00,475.00,451.05,458.65,459.118198874296435272,533,53,244710.00,287,53.85,23.95,-5.35
18-June-2024,451.95,465.00,436.25,455.95,455.694814814814814814,1350,81,615188.00,1264,93.63,28.75,4.00
14-June-2024,440.00,457.00,440.00,451.95,455.517040731504571903,1203,46,547987.00,1148,95.43,17.00,11.95
13-June-2024,461.20,469.00,432.80,454.30,456.570251937984496124,2064,110,942361.00,1648,79.84,36.20,-6.90
12-June-2024,470.15,470.15,450.10,452.15,453.758562605277933745,1781,96,808144.00,1434,80.52,20.05,-18.00
11-June-2024,499.95,499.95,457.00,463.25,471.052478134110787172,1372,103,646284.00,1200,87.46,42.95,-36.70
10-June-2024,477.20,489.25,475.55,479.95,478.438165438165438165,1221,70,584173.00,734,60.11,13.70,2.75
7-June-2024,473.95,477.50,455.00,467.65,470.026051188299817184,2188,140,1028417.00,1533,70.06,22.50,-6.30
6-June-2024,428.10,442.25,428.10,442.25,436.638474295190713101,603,33,263293.00,435,72.14,14.15,14.15
5-June-2024,430.00,430.30,416.05,421.20,421.725829051844932274,2141,99,902915.00,1610,75.20,14.25,-8.80
4-June-2024,453.00,453.00,430.35,430.35,434.919132149901380670,2028,102,882016.00,1904,93.89,22.65,-22.65
3-June-2024,464.00,476.00,450.00,453.00,457.684224598930481283,3740,175,1711739.00,2958,79.09,26.00,-11.00
31-May-2024,462.00,469.80,455.00,458.10,459.312693498452012383,1292,78,593432.00,1048,81.11,14.80,-3.90
30-May-2024,463.00,475.00,460.00,465.40,468.819644798840159478,13795,58,6467367.00,13499,97.85,15.00,2.40
