Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,62.45,64.86,62.30,62.74,63.325593474528730058,1418932,5598,89854711.00,467218,32.93,2.56,0.29
27-June-2024,63.00,63.40,61.08,62.08,62.512295516678585237,584522,3136,36539812.00,188526,32.25,2.32,-0.92
26-June-2024,63.53,64.35,62.63,62.87,63.514148174037605648,1161634,6610,73780194.00,339678,29.24,1.72,-0.66
25-June-2024,64.16,64.65,63.18,63.32,63.886393534627904366,890900,5744,56916388.00,350618,39.36,1.47,-0.84
24-June-2024,64.54,65.30,63.59,64.15,64.319002265089588642,1241452,5436,79848954.00,431203,34.73,1.71,-0.39
21-June-2024,65.51,65.73,64.21,64.54,64.750459889508313472,676793,3182,43822658.00,321181,47.46,1.52,-0.97
20-June-2024,65.50,67.70,64.68,65.24,66.485542887159781221,3575126,12697,237694193.00,1434016,40.11,3.02,-0.26
19-June-2024,64.98,66.30,63.40,65.04,65.127206447028382602,1569095,7349,102190774.00,573499,36.55,2.90,0.06
18-June-2024,65.45,65.80,64.77,64.99,65.240032304016690408,445765,2632,29081723.00,156233,35.05,1.03,-0.46
14-June-2024,65.99,66.30,65.10,65.41,65.671800312625068905,1324270,7025,86967195.00,497895,37.60,1.20,-0.58
13-June-2024,66.95,67.10,65.31,65.78,66.130222022701875571,828654,4200,54799073.00,179605,21.67,1.79,-1.17
12-June-2024,64.09,67.24,63.98,66.30,66.137258080489406682,3725981,15359,246426167.00,1835695,49.27,3.26,2.21
11-June-2024,64.32,65.03,63.48,64.00,64.107948732886688027,858250,2799,55020647.00,191941,22.36,1.55,-0.32
10-June-2024,65.28,65.73,64.00,64.26,64.940693873859907500,1548120,7654,100535987.00,643226,41.55,1.73,-1.02
7-June-2024,64.28,65.43,63.59,64.84,64.617369620856231164,1444096,8468,93313685.00,498163,34.50,1.84,0.56
6-June-2024,62.67,66.46,62.66,64.11,64.757797372407773419,1594768,7626,103273663.00,239111,14.99,3.80,1.44
5-June-2024,62.28,63.80,57.92,61.74,60.626688421297454637,1418855,12559,86020480.00,389444,27.45,5.88,-0.54
4-June-2024,72.20,72.20,57.77,60.47,64.819360219345476639,4924469,23826,319200930.00,1340097,27.21,14.43,-11.73
3-June-2024,67.62,72.99,65.81,72.21,70.318866577804693858,10623967,39731,747065318.00,5537227,52.12,7.18,4.59
31-May-2024,63.60,65.35,62.52,64.68,64.130668646769052448,662592,3765,42492468.00,121636,18.36,2.83,1.08
30-May-2024,64.51,65.48,63.15,63.33,64.173378222131537781,735150,3066,47177059.00,223398,30.39,2.33,-1.18
29-May-2024,64.94,65.83,64.09,64.69,64.909487303541980508,1163671,5140,75533288.00,321539,27.63,1.74,-0.25
28-May-2024,68.59,68.59,63.81,65.27,66.039735188530023988,1336498,4901,88261974.00,410343,30.70,4.78,-3.32
27-May-2024,66.10,69.18,65.55,68.12,67.869258496761122767,1830727,7484,124250084.00,514145,28.08,3.63,2.02
24-May-2024,65.99,67.05,65.26,65.79,66.124523332417416713,1492130,6591,98666385.00,640781,42.94,1.79,-0.20
23-May-2024,65.60,67.22,65.50,66.00,66.298856801810054434,889697,3715,58985894.00,202012,22.71,1.72,0.40
22-May-2024,66.36,66.36,64.15,65.14,65.110671673939662313,1413677,5941,92045459.00,561508,39.72,2.21,-1.22
21-May-2024,62.44,66.20,61.72,65.68,64.476620423653161260,1177331,5756,75910324.00,426625,36.24,4.48,3.24
18-May-2024,61.69,62.28,61.00,62.09,61.859173087990194246,267598,2134,16553391.00,176837,66.08,1.28,0.40
17-May-2024,61.15,61.65,60.65,61.07,61.122000888980066331,731175,4079,44690879.00,309323,42.30,1.00,-0.08
16-May-2024,61.01,61.55,60.20,60.80,60.731751431677781062,798364,3855,48486044.00,227674,28.52,1.35,-0.21
15-May-2024,60.97,62.05,60.42,60.75,61.131315358734200236,439880,2125,26890443.00,180020,40.92,1.63,-0.22
14-May-2024,59.31,60.72,59.31,60.39,60.188956038478791805,802520,4128,48302841.00,207000,25.79,1.41,1.08
13-May-2024,60.99,60.99,58.03,59.26,59.239109958340980631,577546,2824,34213311.00,129830,22.48,2.96,-1.73
10-May-2024,61.00,61.34,58.67,60.76,60.263737672167937176,1209357,6652,72880373.00,369291,30.54,2.67,-0.24
9-May-2024,62.39,62.80,60.20,60.50,61.320048713142446656,890930,6694,54631871.00,248753,27.92,2.60,-1.89
8-May-2024,61.30,62.70,60.80,62.15,61.867868797789476191,587734,3911,36361850.00,121818,20.73,1.90,0.85
7-May-2024,63.43,64.10,60.32,60.94,61.774839127970064846,1767554,10209,109190364.00,563042,31.85,3.78,-2.49
6-May-2024,65.30,65.41,62.85,63.57,63.673626260969408677,487720,4088,31054901.00,127891,26.22,2.56,-1.73
3-May-2024,66.72,66.72,64.50,65.12,65.349598402229981177,765567,4183,50029496.00,194504,25.41,2.22,-1.60
2-May-2024,67.90,67.90,65.95,66.19,66.622430901152774203,1146365,5032,76373623.00,312864,27.29,1.95,-1.71
30-April-2024,68.77,69.80,66.90,67.20,68.185987265414801023,3581428,12074,244203204.00,958554,26.76,2.90,-1.57
29-April-2024,66.44,68.64,66.44,68.20,67.688859323953097152,1600244,5675,108318691.00,473395,29.58,2.20,1.76
26-April-2024,66.01,67.00,65.44,65.92,66.159161217468946138,2284740,8258,151156482.00,788690,34.52,1.56,-0.09
25-April-2024,63.40,66.49,63.25,65.84,65.336585051476208025,1101674,4090,71979617.00,311808,28.30,3.24,2.44
24-April-2024,64.11,64.45,63.32,63.44,63.682318184675341001,620451,4018,39511758.00,229914,37.06,1.13,-0.67
23-April-2024,64.90,65.08,63.60,63.82,64.154711665847958439,537432,3323,34478795.00,155112,28.86,1.48,-1.08
22-April-2024,62.62,64.78,62.62,64.59,63.990457971669698649,831689,3732,53220160.00,265626,31.94,2.16,1.97
19-April-2024,61.00,62.46,59.50,62.08,61.300054313536293234,1161773,5560,71216748.00,325832,28.05,2.96,1.08
18-April-2024,62.50,63.70,61.53,61.80,62.880559587015229731,1088660,5011,68455550.00,315784,29.01,2.17,-0.70
16-April-2024,60.57,63.82,60.20,62.02,62.415378704173354245,983789,3150,61403563.00,210544,21.40,3.62,1.45
15-April-2024,60.02,62.72,59.60,61.29,61.260673106145065213,2520494,10710,154407159.00,1028638,40.81,3.12,1.27
12-April-2024,64.94,65.42,63.66,63.90,64.442786980826778996,1190306,5285,76706636.00,488856,41.07,1.76,-1.04
10-April-2024,64.64,65.44,63.22,65.19,64.321207502718123287,716487,2909,46085309.00,190702,26.62,2.22,0.55
9-April-2024,64.51,64.82,62.94,63.97,63.984588078780508714,629902,3258,40304020.00,78416,12.45,1.88,-0.54
8-April-2024,65.90,66.04,63.75,63.94,64.458007624928878693,1103748,6133,71145397.00,401384,36.37,2.29,-1.96
5-April-2024,65.15,66.35,64.28,65.64,65.512828293130705288,1176540,4947,77078463.00,204554,17.39,2.07,0.49
4-April-2024,66.39,67.00,64.14,64.94,65.420745095804488495,2544505,8474,166463413.00,946637,37.20,2.86,-1.45
3-April-2024,63.33,65.89,62.80,65.62,64.147068412678407335,1690023,6510,108410021.00,302191,17.88,3.09,2.29
2-April-2024,63.35,64.20,62.10,63.19,62.979474904630114443,1871660,7692,117876164.00,467587,24.98,2.10,-0.16
1-April-2024,60.51,63.85,60.48,63.43,62.241247092800368032,1565080,4817,97412531.00,426276,27.24,3.37,2.92
28-March-2024,57.67,61.65,57.67,59.78,59.991934145461986207,3000674,9218,180016237.00,893111,29.76,3.98,2.11
27-March-2024,58.41,59.20,57.12,57.29,58.405654395820388287,630872,2617,36846492.00,179593,28.47,2.08,-1.12
26-March-2024,59.25,60.02,58.14,58.31,58.741952720260991062,903939,5199,53099142.00,285569,31.59,1.88,-0.94
22-March-2024,58.01,59.75,57.91,59.26,59.106527381162005527,783714,3457,46322613.00,108055,13.79,1.84,1.25
21-March-2024,57.94,59.40,57.65,57.84,58.525920067974432538,934469,3924,54690658.00,235451,25.20,1.75,-0.10
20-March-2024,57.66,58.20,55.80,56.70,56.869022237935553912,840051,3463,47772879.00,170954,20.35,2.40,-0.96
19-March-2024,57.85,59.30,56.95,57.14,57.874471491609541018,845067,4075,48907806.00,139660,16.53,2.35,-0.71
18-March-2024,60.19,60.74,57.85,58.44,59.214213652774007893,1665244,7518,98606114.00,261944,15.73,2.89,-1.75
15-March-2024,59.99,61.70,57.35,59.50,59.362966240161376227,1995833,7163,118478567.00,294182,14.74,4.35,-0.49
14-March-2024,54.00,61.45,52.62,60.54,58.524939568434126881,5071439,14519,296805661.00,943157,18.60,8.83,6.54
13-March-2024,60.43,61.36,53.17,54.28,56.933053159074661465,2017078,9078,114838409.00,417604,20.70,8.19,-6.15
12-March-2024,62.15,62.77,59.74,60.27,60.938115500349979193,2078695,8433,126671756.00,560629,26.97,3.03,-1.88
11-March-2024,64.51,64.66,61.80,62.19,63.250126085106742665,1419676,8582,89794686.00,426397,30.03,2.86,-2.32
7-March-2024,65.69,66.25,64.05,64.37,65.055929005478133010,1537020,7158,99992264.00,338377,22.02,2.20,-1.32
6-March-2024,67.50,68.05,64.03,65.17,65.786290602047949179,2019972,7175,132886465.00,289855,14.35,4.02,-2.33
5-March-2024,62.80,67.95,62.33,67.37,66.052379356464370940,3222510,10159,212854453.00,493161,15.30,5.62,4.57
4-March-2024,63.81,64.18,62.41,62.93,63.021464634843497051,977841,6274,61624972.00,292010,29.86,1.77,-0.88
2-March-2024,63.60,63.77,63.00,63.66,63.471550939336257551,48332,514,3067707.00,31345,64.85,0.77,0.06
1-March-2024,63.01,63.95,62.75,63.28,63.268225867126395399,1299897,5566,82242177.00,345880,26.61,1.20,0.27
29-February-2024,60.51,63.05,60.22,62.68,61.620796365077339494,1786668,7820,110095905.00,360030,20.15,2.83,2.17
28-February-2024,63.89,63.89,60.36,61.05,61.600718327350249110,2239369,9610,137946739.00,567806,25.36,3.53,-2.84
27-February-2024,64.90,65.48,62.61,63.25,64.040699031051842518,685692,3440,43912195.00,160468,23.40,2.87,-1.65
26-February-2024,65.99,65.99,64.56,64.85,64.995642266663409765,1432855,7565,93129331.00,511588,35.70,1.43,-1.14
23-February-2024,67.00,67.34,65.45,65.79,66.299042090143272004,735873,3311,48787675.00,190163,25.84,1.89,-1.21
22-February-2024,66.54,67.30,63.90,66.84,65.260790767743587801,3115858,9204,203343357.00,820708,26.34,3.40,0.30
21-February-2024,66.15,68.39,65.45,65.90,66.706006144615969557,2482824,10387,165619273.00,714114,28.76,2.94,-0.25
20-February-2024,67.23,67.55,65.48,65.85,66.483785074298214856,1671238,8474,111110228.00,481138,28.79,2.07,-1.38
19-February-2024,66.95,68.81,65.93,66.99,67.413550457700946028,2821056,11322,190177401.00,692488,24.55,2.88,0.04
16-February-2024,68.22,68.95,66.26,66.72,67.493797420059453634,2212144,7273,149305999.00,400328,18.10,2.69,-1.50
15-February-2024,65.99,67.99,64.21,67.44,66.259353902488234654,4663909,15513,309027597.00,1052431,22.57,3.78,1.45
14-February-2024,60.63,66.15,60.40,65.63,63.640479356764254856,1954369,8735,124376980.00,326774,16.72,5.75,5.00
13-February-2024,58.87,63.98,58.36,63.27,61.696444043426829767,5131390,19797,316588516.00,1240762,24.18,5.62,4.40
12-February-2024,67.95,68.18,58.36,60.10,63.420329123344580066,2797553,11459,177421732.00,617673,22.08,9.82,-7.85
9-February-2024,70.37,72.32,65.04,67.96,68.005089282923129319,6077870,22431,413326092.00,1594889,26.24,7.28,-2.41
8-February-2024,76.29,76.38,69.40,69.93,72.364848007075901620,9463105,34332,684796155.00,2936605,31.03,6.98,-6.36
7-February-2024,67.28,76.85,66.94,74.22,70.973800041555845511,7483905,22629,531161177.00,1679917,22.45,9.91,6.94
6-February-2024,65.32,68.81,64.44,66.54,66.337856113615617206,3885663,12831,257766553.00,1101152,28.34,4.37,1.22
5-February-2024,62.74,70.34,61.76,64.72,66.574917380392737909,13633265,38034,907633491.00,4007573,29.40,8.58,1.98
2-February-2024,60.91,63.45,60.63,62.07,61.837167553556329308,5649519,13573,349350253.00,921263,16.31,2.82,1.16
1-February-2024,57.99,59.95,55.80,59.51,58.136049756520061252,6892765,12726,400718129.00,982144,14.25,4.15,1.52
31-January-2024,56.31,58.80,55.71,57.46,57.223107989582684495,2970055,9568,169955778.00,657246,22.13,3.09,1.15
30-January-2024,56.39,58.70,55.14,56.07,57.080845377948255305,3460606,9261,197534316.00,703982,20.34,3.56,-0.32
29-January-2024,54.81,57.50,54.43,55.94,56.182051534412936491,5547594,13622,311675212.00,2464349,44.42,3.07,1.13
25-January-2024,54.75,55.42,53.75,54.36,54.577731507094674413,1697259,3845,92632546.00,284969,16.79,1.67,-0.39
24-January-2024,53.25,55.05,51.55,54.80,53.601466674946120444,3301345,9366,176956934.00,880556,26.67,3.50,1.55
23-January-2024,57.25,57.53,52.54,52.96,54.703059200278916165,3097705,9802,169453940.00,707308,22.83,4.99,-4.29
20-January-2024,55.00,57.48,54.40,56.21,55.790882281681752411,5332628,18230,297512021.00,2541802,47.66,3.08,1.21
19-January-2024,53.19,55.00,52.50,54.60,53.788314273892263685,5669806,10682,304969307.00,1062707,18.74,2.50,1.41
18-January-2024,51.98,53.43,49.29,52.78,51.744221778546862564,2495318,6028,129118288.00,360010,14.43,4.14,0.80
17-January-2024,52.03,52.70,51.03,51.32,51.879476459320633269,1469074,4934,76214790.00,411562,28.02,1.67,-0.71
16-January-2024,52.87,54.34,51.75,53.07,53.395375245733597673,2397922,7719,128037945.00,529748,22.09,2.59,0.20
15-January-2024,52.20,53.80,51.90,52.52,52.718979742188677544,3549495,10045,187125755.00,1268240,35.73,1.90,0.32
12-January-2024,50.74,52.55,50.53,51.95,51.924886508442179037,1908512,5185,99099269.00,427120,22.38,2.02,1.21
11-January-2024,50.13,51.10,50.13,50.62,50.592160704556927859,1200414,4899,60731538.00,575949,47.98,0.97,0.49
10-January-2024,49.53,50.43,49.51,50.06,49.922093733015594297,597975,2048,29852164.00,181365,30.33,0.92,0.53
9-January-2024,50.61,51.40,49.70,49.93,50.488618222569908017,1193926,4689,60279674.00,447956,37.52,1.70,-0.68
