Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
100087,Cipla Ltd.,CIPLA#,"Cipla Ltd.,",Active,A ,2.00,INE059A01026, ,Equity,-,-,-,-
100112,State Bank Of India,SBIN#,"State Bank Of India,",Active,A ,1.00,INE062A01020,Public Sector Bank,Equity,-,Financial Services,-,-
100228,JSW Steel Limited,JSWSTEEL#,JSW SL,Active,A ,1.00,INE019A01038,Iron & Steel,Equity,-,Metals & Mining,-,-
100251,Trent Ltd [Lakme Ltd],TRENT#,TRENT,Active,A ,1.00,INE849A01020, ,Equity,-,-,-,-
100253,Lic Housing Finance Ltd.,LICHSGFIN#,Lic Housing Finance Ltd.,Active,A ,2.00,INE115A01026,Housing Finance Company,Equity,-,Financial Services,-,-
100266,Maharashtra Scooters Ltd.,MAHSCOOTER#,"Maharashtra Scooters Ltd.,",Suspended,A ,10.00,INE288A01013,Investment Company,Equity,-,Financial Services,-,-
100290,M.R.F. Ltd.,MRF#,M.R.F LTD,Active,A ,10.00,INE883A01011, ,Equity,-,-,-,-
100295,Vedanta Limited,VEDL#,Vedanta Limited,Active,A ,1.00,INE205A01025,Diversified Metals,Equity,-,Metals & Mining,-,-
100312,Oil And Natural Gas Corporation Ltd,ONGC#,Oil And Natural Gas Corporation Ltd,Active,A ,5.00,INE213A01029,Oil Exploration & Production,Equity,-,"Oil, Gas & Consumable Fuels",-,-
100425,Ambuja Cements Ltd.,AMBUJACEM#,Ambuja Cements Ltd.,Active,A ,2.00,INE079A01024,Cement & Cement Products,Equity,-,Construction Materials,-,-
100440,Hindalco Industries Ltd.,HINDALCO#,Hindalco Industries Ltd.,Active,A ,1.00,INE038A01020,Aluminium,Equity,-,Metals & Mining,-,-
100477,Ashok Leyland Ltd.,ASHOKLEY#,ASHOK LEYLND,Active,A ,1.00,INE208A01029,Commercial Vehicles,Equity,-,Capital Goods,-,-
100483,Tata Communications Limited,TATACOMM#,TATA COMM,Active,A ,10.00,INE151A01013,Telecom - Cellular & Fixed line services,Equity,-,Telecommunication,-,-
100547,Bharat Petroleum Corpn. Ltd.,BPCL#,BHARAT PETRO,Active,A ,10.00,INE029A01011,Refineries & Marketing,Equity,-,"Oil, Gas & Consumable Fuels",-,-
100790,Nestle India Ltd.,NESTLEIND#,NESTLE LTD,Active,A ,1.00,INE239A01024,Packaged Foods,Equity,-,Fast Moving Consumer Goods,-,-
100850,Indian Hotels Co. Ltd,INDHOTEL#,Indian Hotels Co. Ltd,Active,A ,1.00,INE053A01029,Hotels & Resorts,Equity,-,Consumer Services,-,-
117334,Samvardhana Motherson International Limited,MOTHERSON#,Samvardhana Motherson International Limited,Active,A ,1.00,INE775A01035,Auto Components & Equipments,Equity,-,Automobile and Auto Components,-,-
119600,CCL Products (India) Ltd.,CCL#,CCL Products (India) Ltd.,Suspended,A ,2.00,INE421D01022,Tea & Coffee,Equity,-,Fast Moving Consumer Goods,-,-
126371,NMDC Ltd,NMDC#,NMDC Ltd,Active,A ,1.00,INE584A01023,Industrial Minerals,Equity,-,Metals & Mining,-,-
132134,Bank Of Baroda,BANKBARODA#,Bank Of Baroda,Active,A ,2.00,INE028A01039,Public Sector Bank,Equity,-,Financial Services,-,-
132218,South Indian Bank Ltd.,SOUTHBANK#,South Indian Bank Ltd.,Suspended,A ,1.00,INE683A01023,Private Sector Bank,Equity,-,Financial Services,-,-
132400,BIRLASOFT LIMITED,BSOFT#,BIRLASOFT LIMITED,Active,A ,2.00,INE836A01035,Computers - Software & Consulting,Equity,-,Information Technology,-,-
132477,Union Bank of India,UNIONBANK#,UNION BANK,Active,A ,10.00,INE692A01016,Public Sector Bank,Equity,-,Financial Services,-,-
132488,Divi's Laboratories Ltd.,DIVISLAB#,Divi's Laboratories Ltd.,Active,A ,2.00,INE361B01024,Pharmaceuticals,Equity,-,Healthcare,-,-
132522,PETRONET LNG LTD.,PETRONET#,PETRONET LNG,Active,A ,10.00,INE347G01014,LPG/CNG/PNG/LNG Supplier,Equity,-,"Oil, Gas & Consumable Fuels",-,-
132541,COFORGE LIMITED,COFORGE#,COFORGE LIMITED,Active,A ,10.00,INE591G01017,Computers - Software & Consulting,Equity,-,Information Technology,-,-
132652,Karnataka Bank Ltd.,KTKBANK#,Karnataka Bank Ltd.,Suspended,A ,10.00,INE614B01018,Private Sector Bank,Equity,-,Financial Services,-,-
132977,Bajaj Auto Limited,BAJAJ-AUTO#,Bajaj Auto Limited,Active,A ,10.00,INE917I01010,2/3 Wheelers,Equity,-,Automobile and Auto Components,-,-
133088,Mahindra Holidays & Resorts India Limited,MHRIL#,Mahindra Holidays & Resorts India Limite,Suspended,A ,10.00,INE998I01010,Hotels & Resorts,Equity,-,Consumer Services,-,-
139302,Power Mech Projects Limited,POWERMECH#,Power Mech Projects Limited,Suspended,A ,10.00,INE211R01019,Civil Construction,Equity,-,Construction,-,-
139978,Quess Corp Limited,QUESS#,Quess Corp Limited,Suspended,A ,10.00,INE615P01015,Diversified Commercial Services,Equity,-,Services,-,-
140005,LTIMindtree Limited,LTIM#,LTIMindtree Limited,Active,A ,1.00,INE214T01019,Computers - Software & Consulting,Equity,-,Information Technology,-,-
143272,Easy Trip Planners Limited,EASEMYTRIP#,Easy Trip Planners Limited,Suspended,A ,1.00,INE07O001026,Tour- Travel Related Services,Equity,-,Consumer Services,-,-
143413,Tega Industries Limited,TEGA#,Tega Industries Limited,Suspended,A ,10.00,INE011K01018,Industrial Products,Equity,-,Capital Goods,-,-
144057,Happy Forgings Limited,HAPPYFORGE#,Happy Forgings Limited,Suspended,B ,2.00,INE330T01021,Castings & Forgings,Equity,-,Capital Goods,-,-
