Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
533002,Deutsche Mutual Fund,DWSFTS50AG,DEUTSCHE MUTUAL FUND - DWS FIXED TERM SERIES 50 - PLAN A - GROWTH OPTION,Active,F ,10.00,INF223J01051, ,MF,-,-,-,-
533004,Deutsche Mutual Fund,DWSFTS50BG,DEUTSCHE MUTUAL FUND - DWS FIXED TERM SERIES 50 - PLAN B - GROWTH OPTION,Active,F ,10.00,INF223J01077, ,MF,-,-,-,-
533063,Kotak Mahindra Mutual Fund,KTKFMP13EG,KOTAK MAHINDRA MUTUAL FUND - KOTAK FMP 13M - SERIES 5 - GROWTH OPTION,Delisted,F ,10.00,INF174K01062, ,MF,-,-,-,-
533064,Kotak Mahindra Mutual Fund,KTKFMP13ED,KOTAK MAHINDRA MUTUAL FUND - KOTAK FMP 13M - SERIES 5 - DIVIDEND OPTION,Delisted,F ,10.00,INF174K01054, ,MF,-,-,-,-
533072,BNP PARIBAS MUTUAL FUND,FFTP14CRGR,FORTIS MUTUAL FUND - FTP-SR14-PLC-REG GROWTH 05AP10 CL,Delisted,F ,10.00,INF251K01019, ,MF,-,-,-,-
533073,BNP PARIBAS MUTUAL FUND,FFTP14CRCQ,FORTIS MUTUAL FUND - FTP-SR14-PLC-REG CALENDAR QTRLY DIV 05AP10 CL,Delisted,F ,10.00,INF251K01027, ,MF,-,-,-,-
533074,BNP PARIBAS MUTUAL FUND,FFTP14CRCY,FORTIS MUTUAL FUND - FTP-SR14-PLC-REG CALENDAR YRLY DIV 05AP10 CL,Delisted,F ,10.00,INF251K01035, ,MF,-,-,-,-
533075,BNP PARIBAS MUTUAL FUND,FFTP14CRDM,FORTIS MUTUAL FUND - FTP-SR14-PLC-REG DIV ON MATURITY 05AP10 CL,Delisted,F ,10.00,INF251K01043, ,MF,-,-,-,-
533076,BNP PARIBAS MUTUAL FUND,FFTP14CIGR,FORTIS MUTUAL FUND - FTP-SR14-PLC-INST GROWTH 05AP10 CL,Delisted,F ,10.00,INF251K01050, ,MF,-,-,-,-
533077,BNP PARIBAS MUTUAL FUND,FFTP14CICQ,FORTIS MUTUAL FUND - FTP-SR14-C-INST CALENDAR QTRLY DIV 05AP10 CL,Delisted,F ,10.00,INF251K01068, ,MF,-,-,-,-
533111,Tata Mutual Fund,TFMP25ARG,TATA FIXED MATURITY PLAN SERIES - 25 SCHEME A - RETAIL INVESTMENT PLAN-GROWTH,Delisted,F ,10.00,INF277K01055, ,MF,-,-,-,-
533112,Tata Mutual Fund,TFMP25ARDP,TATA FIXED MATURITY PLAN SERIES - 25 SCHEME A - RETAIL INVESTMENT PLAN-PERIODIC DIVIDEND PAYOUT,Delisted,F ,10.00,INF277K01063, ,MF,-,-,-,-
533113,Tata Mutual Fund,TFMP25ARDR,TATA FIXED MATURITY PLAN SERIES - 25 SCHEME A - RETAIL INVESTMENT PLAN-PERIODIC DIVIDEND REINVEST,Delisted,F ,10.00,INF277K01071, ,MF,-,-,-,-
533114,Tata Mutual Fund,TFMP25AHG,TATA FIXED MATURITY PLAN SERIES - 25 SCHEME A - HIGH INVESTMENT PLAN-GROWTH,Delisted,F ,10.00,INF277K01089, ,MF,-,-,-,-
533115,Tata Mutual Fund,TFMP25AHDP,TATA FIXED MATURITY PLAN SERIES - 25 SCHEME A - HIGH INVESTMENT PLAN-PERIODIC DIVIDEND PAYOUT,Delisted,F ,10.00,INF277K01097, ,MF,-,-,-,-
533116,Tata Mutual Fund,TFMP25AHDR,TATA FIXED MATURITY PLAN SERIES - 25 SCHEME A - HIGH INVESTMENT PLAN-PERIODIC DIVIDEND REINVEST,Delisted,F ,10.00,INF277K01105, ,MF,-,-,-,-
533117,Tata Mutual Fund,TFMP25ASG,TATA FIXED MATURITY PLAN SERIES - 25 SCHEME A - SUPER HIGH INVESTMENT PLAN-GROWTH,Delisted,F ,10.00,INF277K01113, ,MF,-,-,-,-
