Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,234.35,246.25,234.35,244.15,241.314200092208390963,4338,349,1046821.00,2109,48.62,11.90,9.80
27-June-2024,238.75,249.00,232.75,239.10,241.658711520152332592,15755,474,3807333.00,8507,54.00,16.25,0.35
26-June-2024,242.20,242.20,231.70,234.05,235.352868852459016393,2440,244,574261.00,1911,78.32,10.50,-8.15
25-June-2024,244.00,244.00,230.35,237.60,239.923651297367929811,5357,230,1285271.00,3370,62.91,13.65,-6.40
24-June-2024,232.50,241.80,227.15,235.15,236.621070433744528452,10052,741,2378515.00,7720,76.80,14.65,2.65
21-June-2024,225.75,256.15,224.90,231.65,242.916225875625446747,34975,1282,8495995.00,23860,68.22,31.25,5.90
20-June-2024,219.55,230.00,219.55,224.30,224.738929577464788732,8875,769,1994558.00,6859,77.28,10.45,4.75
19-June-2024,215.85,225.00,215.85,222.40,221.932972081517257627,8489,692,1883989.00,6799,80.09,9.15,6.55
18-June-2024,218.00,222.10,216.70,220.25,219.361043194784026079,4908,217,1076624.00,3955,80.58,5.40,2.25
14-June-2024,225.95,225.95,217.05,218.75,219.718999467802022352,1879,186,412852.00,1195,63.60,8.90,-7.20
13-June-2024,217.00,224.80,213.30,222.05,219.113832355984822352,2899,162,635211.00,1785,61.57,11.50,5.05
12-June-2024,213.50,215.00,210.50,211.15,212.128335451080050825,1574,205,333890.00,1116,70.90,4.50,-2.35
11-June-2024,217.90,217.90,209.90,211.70,212.048990116029222174,2327,164,493438.00,1571,67.51,8.00,-6.20
10-June-2024,215.80,215.90,210.80,212.35,213.260404280618311533,4205,232,896760.00,1872,44.52,5.10,-3.45
7-June-2024,210.15,213.45,209.60,211.85,211.381648936170212765,2256,138,476877.00,1200,53.19,3.85,1.70
6-June-2024,220.00,220.00,207.40,208.00,211.957691367082416238,4089,267,866695.00,3261,79.75,12.60,-12.00
5-June-2024,206.60,206.60,198.60,202.40,202.227133210558624923,1629,239,329428.00,970,59.55,8.00,-4.20
4-June-2024,221.00,221.00,194.15,199.35,203.053928571428571428,2800,331,568551.00,1718,61.36,26.85,-21.65
3-June-2024,212.00,218.50,210.20,214.10,213.020161290322580645,4712,455,1003751.00,2578,54.71,8.30,2.10
31-May-2024,213.95,213.95,206.30,210.05,209.772819885900570497,4908,599,1029565.00,2630,53.59,7.65,-3.90
30-May-2024,210.55,212.50,208.60,209.75,210.035657686212361331,1262,171,265065.00,1052,83.36,3.90,-0.80
29-May-2024,207.70,215.75,207.70,213.45,212.336697247706422018,2180,182,462894.00,1768,81.10,8.05,5.75
28-May-2024,208.05,218.40,205.05,207.45,213.955529775715390564,2586,256,553289.00,1693,65.47,13.35,-0.60
27-May-2024,212.00,216.00,209.95,211.75,213.115335544781832100,3919,282,835199.00,2711,69.18,6.05,-0.25
24-May-2024,221.45,240.00,212.20,216.65,229.924290884605672923,23762,1671,5463461.00,13210,55.59,27.80,-4.80
23-May-2024,196.00,227.35,194.05,212.75,213.316904962153069806,5945,740,1268169.00,3510,59.04,33.30,16.75
22-May-2024,198.00,199.80,197.20,198.00,198.298129812981298129,909,207,180253.00,639,70.30,2.60,0.00
21-May-2024,214.90,214.90,200.00,200.45,202.202302631578947368,1216,294,245878.00,692,56.91,14.90,-14.45
18-May-2024,197.45,210.00,197.45,200.00,199.620481927710843373,166,19,33137.00,108,65.06,12.55,2.55
17-May-2024,198.05,203.45,198.05,200.85,200.901190476190476190,1680,264,337514.00,1311,78.04,5.40,2.80
16-May-2024,205.25,205.90,200.00,201.30,202.085106382978723404,188,46,37992.00,132,70.21,5.90,-3.95
15-May-2024,204.15,206.50,201.10,201.10,204.064754856614246068,1081,190,220594.00,512,47.36,5.40,-3.05
14-May-2024,200.55,201.40,197.25,201.00,199.891489361702127659,1410,127,281847.00,851,60.35,4.15,0.45
13-May-2024,222.75,222.75,197.00,199.85,205.238275698720985315,2111,365,433258.00,1086,51.44,25.75,-22.90
10-May-2024,215.00,216.15,208.95,212.25,211.983229516051748921,2087,270,442409.00,978,46.86,7.20,-2.75
9-May-2024,229.90,229.90,209.00,210.25,219.131908396946564885,3275,511,717657.00,1324,40.43,20.90,-19.65
8-May-2024,210.00,222.60,210.00,221.45,218.215476190476190476,3360,541,733204.00,1695,50.45,12.60,11.45
7-May-2024,217.95,221.05,212.00,215.10,217.150676868746321365,1699,301,368939.00,355,20.89,9.05,-2.85
