Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,19307.05078125,19583.849609375,19307.05078125,19454.099609375,17579.41796875,10416
2015-01-02,19415.0,19737.94921875,19415.0,19539.849609375,17656.908203125,12616
2015-01-05,19480.0,19862.94921875,19480.0,19736.05078125,17834.201171875,14811
2015-01-06,19538.69921875,19650.0,19090.0,19188.69921875,17339.59375,21643
2015-01-07,19222.0,19279.0,18900.0,19156.69921875,17310.6796875,13903
2015-01-08,19215.05078125,19650.0,19215.05078125,19618.900390625,17728.341796875,16732
2015-01-09,19660.099609375,19725.0,19361.19921875,19450.30078125,17575.984375,11213
2015-01-12,19730.0,20387.0,19435.0,20326.25,18367.529296875,32456
2015-01-13,20400.0,20784.0,20211.0,20403.55078125,18437.376953125,37481
2015-01-14,20302.0,21001.0,20301.5,20985.94921875,18963.654296875,36893
2015-01-15,21300.0,21467.150390625,20940.0,21334.80078125,19278.888671875,45461
2015-01-16,21350.0,21684.0,21150.44921875,21441.55078125,19375.353515625,17239
2015-01-19,21305.0,21679.5,21305.0,21504.94921875,19432.640625,8870
2015-01-20,21555.0,21625.05078125,21450.05078125,21530.650390625,19455.865234375,12152
2015-01-21,21700.0,21880.0,21200.0,21638.650390625,19553.455078125,36699
2015-01-22,21743.0,21850.0,21530.400390625,21677.400390625,19588.474609375,18159
2015-01-23,21894.0,21998.69921875,21593.0,21834.25,19730.208984375,19476
2015-01-27,21802.0,23474.5,21646.099609375,23054.94921875,20833.275390625,62349
2015-01-28,23055.0,23527.5,23000.150390625,23292.80078125,21048.20703125,25647
2015-01-29,23370.0,23988.0,23224.849609375,23437.19921875,21178.69140625,26404
2015-01-30,23680.0,23989.0,23450.0,23824.30078125,21528.4921875,24924
2015-02-02,23824.30078125,25139.400390625,23801.900390625,24974.55078125,22567.8984375,41833
2015-02-03,25090.0,25899.80078125,24400.19921875,24530.349609375,22166.498046875,47303
2015-02-04,24742.0,24800.0,23400.0,23554.400390625,21284.6015625,31880
2015-02-05,23600.0,23960.05078125,23304.19921875,23629.44921875,21352.412109375,25717
2015-02-06,23700.0,23780.0,22760.05078125,23039.900390625,20819.677734375,26572
2015-02-09,22930.900390625,23250.0,22280.05078125,22358.69921875,20204.123046875,26755
2015-02-10,22359.0,23307.19921875,22000.0,23014.849609375,20797.03515625,47486
2015-02-11,23140.0,23953.80078125,23050.0,23708.099609375,21423.486328125,48419
2015-02-12,24524.0,25865.099609375,24524.0,25361.30078125,22917.376953125,187847
2015-02-13,25699.0,26599.19921875,24580.05078125,24946.44921875,22542.501953125,160312
2015-02-16,24926.0,25875.0,24720.19921875,25604.099609375,23136.779296875,52493
2015-02-18,26000.0,27150.0,24650.0,27117.69921875,24504.525390625,100841
2015-02-19,27199.0,27398.900390625,25945.25,26201.849609375,23676.927734375,111134
2015-02-20,26274.5,26800.0,25500.0,26559.150390625,23999.796875,51765
2015-02-23,26800.0,26800.0,25951.05078125,26118.19921875,23601.341796875,53236
2015-02-24,26218.0,26650.0,25921.0,26514.099609375,23959.08984375,66444
2015-02-25,26597.0,26597.0,26131.0,26285.55078125,23752.5625,49608
2015-02-26,26295.0,26295.0,25771.0,26032.900390625,23524.2578125,101052
2015-02-27,26350.0,27032.900390625,25581.0,26589.30078125,24027.044921875,839405
2015-03-02,25890.0,26195.0,25626.0,25902.44921875,23406.376953125,70096
2015-03-03,25900.0,26476.400390625,25551.599609375,26256.0,23725.86328125,49786
2015-03-04,26300.0,26495.0,25951.19921875,26115.099609375,23598.5390625,25358
2015-03-05,26300.0,26900.0,26144.0,26706.80078125,24133.22265625,93844
2015-03-09,26600.0,26955.0,26135.0,26312.849609375,23777.23046875,50051
2015-03-10,26355.0,26764.0,26277.05078125,26555.19921875,23996.228515625,41472
2015-03-11,26684.0,26824.0,26252.0,26438.400390625,23890.685546875,54289
2015-03-12,26360.0,27394.0,26360.0,27289.650390625,24659.8984375,26685
2015-03-13,27444.0,27548.05078125,26525.69921875,26614.5,24049.81640625,43832
2015-03-16,26799.0,26806.94921875,26100.0,26223.099609375,23696.130859375,44890
2015-03-17,26335.05078125,26689.0,26335.05078125,26602.5,24038.97265625,31973
2015-03-18,26688.0,27489.69921875,26503.099609375,27316.30078125,24683.986328125,51794
2015-03-19,27475.0,27947.94921875,27461.0,27657.900390625,24992.66796875,49526
2015-03-20,27824.0,27990.0,26856.05078125,27367.55078125,24730.298828125,294706
2015-03-23,27575.0,27649.94921875,26820.099609375,26902.849609375,24310.375,38060
2015-03-24,27099.0,27099.0,26210.0,26337.19921875,23799.232421875,31885
2015-03-25,26330.0,26422.349609375,25650.0,25771.69921875,23288.232421875,35335
2015-03-26,25799.94921875,25799.94921875,25332.05078125,25559.0,23096.025390625,37290
2015-03-27,25559.0,25660.0,24672.0,25212.25,22782.6875,37390
2015-03-30,25538.0,25637.19921875,25300.0,25498.75,23041.58203125,15688
2015-03-31,25898.0,25898.0,25260.0,25421.349609375,22971.640625,29465
2015-04-01,25488.0,25708.0,25201.0,25570.69921875,23106.595703125,16121
2015-04-06,25550.0,25560.0,25170.0,25343.80078125,22901.568359375,16783
2015-04-07,25600.0,25600.0,25050.0,25291.650390625,22854.44140625,22236
2015-04-08,25500.0,25990.05078125,25284.900390625,25823.599609375,23335.12890625,26541
2015-04-09,26000.0,26098.94921875,25565.0,25692.5,23216.658203125,19940
2015-04-10,25695.0,26159.94921875,25585.150390625,26069.099609375,23556.970703125,19246
2015-04-13,26100.0,26580.0,25950.150390625,26440.599609375,23892.671875,22720
2015-04-15,26796.94921875,26796.94921875,26150.0,26340.25,23801.994140625,16172
2015-04-16,26400.0,26489.75,25745.099609375,26239.55078125,23710.994140625,16311
2015-04-17,26050.0,26295.94921875,25457.19921875,25574.55078125,23110.076171875,13387
2015-04-20,25784.900390625,25784.900390625,24360.0,24676.19921875,22298.294921875,23979
2015-04-21,24939.0,24939.0,24199.900390625,24284.05078125,21943.9375,25005
2015-04-22,24290.0,24494.75,23160.05078125,23622.19921875,21345.865234375,36581
2015-04-23,23815.0,24050.0,23467.94921875,23720.5,21434.6953125,16777
2015-04-24,23800.0,23820.0,21460.05078125,21958.400390625,19842.396484375,48109
2015-04-27,22025.0,22100.0,20433.900390625,20930.400390625,18913.458984375,68844
2015-04-28,21100.0,21900.0,20626.69921875,21722.5,19629.228515625,35316
2015-04-29,21700.0,21975.0,21350.0,21621.25,19537.734375,26659
2015-04-30,22000.0,22850.0,21775.0,22503.80078125,20335.23828125,51345
2015-05-04,22780.0,23070.0,22325.0,22713.05078125,20524.32421875,26605
2015-05-05,22950.0,22950.0,22411.0,22522.0,20351.681640625,32148
2015-05-06,22400.0,22594.0,21600.0,21732.400390625,19638.171875,21560
2015-05-07,21900.0,21950.0,19798.19921875,20936.150390625,18918.654296875,25196
2015-05-08,21000.0,21900.0,21000.0,21608.75,19526.44140625,28261
2015-05-11,21950.0,22250.0,21740.05078125,22114.05078125,19983.046875,29896
2015-05-12,22155.0,22155.0,21335.44921875,21487.55078125,19416.919921875,12424
2015-05-13,21470.150390625,22691.30078125,21470.150390625,22580.349609375,20404.41015625,35527
2015-05-14,22699.0,22940.0,22250.0,22794.150390625,20597.607421875,27743
2015-05-15,22880.0,23144.0,22767.0,22868.650390625,20664.931640625,24846
2015-05-18,23000.0,23149.0,22661.599609375,22983.80078125,20768.98828125,16022
2015-05-19,22990.0,23459.0,22810.0,23184.849609375,20950.662109375,21741
2015-05-20,23398.0,23425.849609375,23150.0,23256.19921875,21015.134765625,13008
2015-05-21,23340.0,23550.0,23200.400390625,23376.5,21123.841796875,20691
2015-05-22,23298.19921875,23400.0,22989.94921875,23146.05078125,20915.599609375,10461
2015-05-25,22605.19921875,23777.400390625,22605.19921875,23462.599609375,21201.646484375,16485
2015-05-26,23594.80078125,23594.80078125,23050.05078125,23135.75,20906.287109375,13637
2015-05-27,23075.849609375,23250.5,22850.0,23033.94921875,20814.294921875,25168
2015-05-28,23289.0,23404.05078125,22860.099609375,23094.55078125,20869.064453125,93071
2015-05-29,23295.55078125,23900.0,22431.0,23668.849609375,21388.01953125,121011
2015-06-01,23800.0,23860.0,23166.0,23332.25,21083.853515625,22837
2015-06-02,23400.0,23500.0,22581.0,22744.099609375,20552.37890625,21635
2015-06-03,22997.099609375,22997.099609375,21515.0,21713.55078125,19621.138671875,25922
2015-06-04,21950.0,22279.94921875,21705.0,22183.75,20046.03125,20950
2015-06-05,22200.0,22245.0,21680.0,21977.349609375,19859.515625,21029
2015-06-08,21890.0,22001.5,21127.55078125,21420.30078125,19356.146484375,14957
2015-06-09,21203.0,21298.0,20620.05078125,20791.80078125,18788.21875,27494
2015-06-10,20820.0,21330.0,20820.0,21247.150390625,19199.685546875,20152
2015-06-11,21449.80078125,21489.80078125,20251.099609375,20432.150390625,18463.22265625,36148
2015-06-12,20399.5,20520.0,19625.05078125,20283.900390625,18329.255859375,31912
2015-06-15,20425.0,20528.30078125,20161.0,20339.400390625,18379.41015625,18007
2015-06-16,20339.400390625,20440.0,19900.0,20306.349609375,18349.54296875,23702
2015-06-17,20351.0,21180.0,20162.599609375,20848.30078125,18839.267578125,35862
2015-06-18,20850.0,21150.0,20557.19921875,21096.0,19063.09765625,33109
2015-06-19,21150.0,21251.44921875,20849.94921875,21108.25,19074.16796875,31099
2015-06-22,21290.0,21860.0,20500.0,21745.400390625,19649.921875,28398
