Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,1800.0,1845.0,1770.0,1820.0,1820.0,532
2015-01-02,1810.0,1940.0,1805.0,1880.0,1880.0,2507
2015-01-05,1900.0,1940.0,1855.0,1865.0,1865.0,755
2015-01-06,1840.0,1850.0,1780.0,1790.0,1790.0,382
2015-01-07,1760.0,1805.0,1715.0,1725.0,1725.0,764
2015-01-08,1820.0,1835.0,1765.0,1790.0,1790.0,565
2015-01-09,1820.0,1820.0,1745.0,1765.0,1765.0,627
2015-01-12,1780.0,1800.0,1750.0,1770.0,1770.0,404
2015-01-13,1755.0,1790.0,1750.0,1760.0,1760.0,345
2015-01-14,1745.0,1820.0,1650.0,1745.0,1745.0,522
2015-01-15,1815.0,1815.0,1735.0,1770.0,1770.0,435
2015-01-16,1770.0,1790.0,1730.0,1745.0,1745.0,411
2015-01-19,1740.0,1775.0,1730.0,1735.0,1735.0,447
2015-01-20,1750.0,1770.0,1735.0,1750.0,1750.0,728
2015-01-21,1750.0,1785.0,1735.0,1740.0,1740.0,471
2015-01-22,1745.0,1920.0,1720.0,1830.0,1830.0,2731
2015-01-23,1830.0,1885.0,1760.0,1765.0,1765.0,616
2015-01-27,1765.0,1785.0,1745.0,1755.0,1755.0,343
2015-01-28,1745.0,1795.0,1730.0,1755.0,1755.0,559
2015-01-29,1750.0,1835.0,1730.0,1790.0,1790.0,1578
2015-01-30,1770.0,1825.0,1755.0,1800.0,1800.0,504
2015-02-02,1790.0,1870.0,1750.0,1780.0,1780.0,324
2015-02-03,1795.0,1810.0,1730.0,1735.0,1735.0,890
2015-02-04,1750.0,1775.0,1725.0,1735.0,1735.0,460
2015-02-05,1755.0,1780.0,1725.0,1735.0,1735.0,236
2015-02-06,1770.0,1770.0,1655.0,1670.0,1670.0,479
2015-02-09,1665.0,1685.0,1615.0,1630.0,1630.0,444
2015-02-10,1650.0,1695.0,1525.0,1635.0,1635.0,266
2015-02-11,1610.0,1670.0,1610.0,1660.0,1660.0,97
2015-02-12,1740.0,1830.0,1715.0,1755.0,1755.0,5459
2015-02-13,1730.0,1765.0,1680.0,1690.0,1690.0,1045
2015-02-16,1700.0,1730.0,1680.0,1685.0,1685.0,587
2015-02-18,1715.0,1790.0,1660.0,1785.0,1785.0,1159
2015-02-19,1770.0,1800.0,1720.0,1730.0,1730.0,514
2015-02-20,1775.0,1775.0,1680.0,1710.0,1710.0,813
2015-02-23,1710.0,1755.0,1675.0,1680.0,1680.0,464
2015-02-24,1705.0,1745.0,1680.0,1720.0,1720.0,468
2015-02-25,1720.0,1745.0,1670.0,1690.0,1690.0,802
2015-02-26,1680.0,1695.0,1645.0,1655.0,1655.0,630
2015-02-27,1695.0,1720.0,1665.0,1700.0,1700.0,1181
2015-03-02,1700.0,1700.0,1660.0,1670.0,1670.0,287
2015-03-03,1700.0,1735.0,1675.0,1680.0,1680.0,990
2015-03-04,1720.0,1725.0,1670.0,1680.0,1680.0,676
2015-03-05,1710.0,1710.0,1640.0,1650.0,1650.0,444
2015-03-09,1660.0,1665.0,1615.0,1625.0,1625.0,250
2015-03-10,1670.0,1670.0,1585.0,1595.0,1595.0,667
2015-03-11,1625.0,1625.0,1580.0,1590.0,1590.0,397
2015-03-12,1600.0,1645.0,1560.0,1575.0,1575.0,707
2015-03-13,1570.0,1625.0,1550.0,1580.0,1580.0,482
2015-03-16,1615.0,1615.0,1550.0,1560.0,1560.0,429
2015-03-17,1560.0,1595.0,1515.0,1525.0,1525.0,711
2015-03-18,1575.0,1585.0,1505.0,1525.0,1525.0,535
2015-03-19,1555.0,1750.0,1525.0,1580.0,1580.0,3055
2015-03-20,1620.0,1620.0,1520.0,1530.0,1530.0,698
2015-03-23,1550.0,1580.0,1500.0,1510.0,1510.0,521
2015-03-24,1510.0,1540.0,1500.0,1505.0,1505.0,395
2015-03-25,1570.0,1570.0,1460.0,1490.0,1490.0,605
2015-03-26,1490.0,1540.0,1475.0,1485.0,1485.0,702
2015-03-27,1500.0,1545.0,1420.0,1455.0,1455.0,2131
2015-03-30,1525.0,1535.0,1440.0,1510.0,1510.0,352
2015-03-31,1505.0,1545.0,1490.0,1515.0,1515.0,355
2015-04-01,1560.0,1560.0,1520.0,1550.0,1550.0,134
2015-04-06,1520.0,1820.0,1500.0,1780.0,1780.0,2444
2015-04-07,1825.0,1980.0,1810.0,1910.0,1910.0,10744
2015-04-08,1900.0,1910.0,1780.0,1820.0,1820.0,1355
2015-04-09,1840.0,1865.0,1750.0,1775.0,1775.0,996
2015-04-10,1740.0,1790.0,1720.0,1770.0,1770.0,778
2015-04-13,1785.0,1830.0,1735.0,1800.0,1800.0,592
2015-04-15,1785.0,1825.0,1755.0,1770.0,1770.0,394
2015-04-16,1755.0,1795.0,1715.0,1745.0,1745.0,472
2015-04-17,1735.0,1750.0,1655.0,1710.0,1710.0,397
2015-04-20,1710.0,1740.0,1630.0,1640.0,1640.0,841
2015-04-21,1650.0,1685.0,1640.0,1640.0,1640.0,397
2015-04-22,1645.0,1670.0,1610.0,1630.0,1630.0,458
2015-04-23,1670.0,1675.0,1615.0,1625.0,1625.0,387
2015-04-24,1630.0,1645.0,1590.0,1600.0,1600.0,340
2015-04-27,1640.0,1640.0,1560.0,1580.0,1580.0,291
2015-04-28,1590.0,1630.0,1550.0,1590.0,1590.0,165
2015-04-29,1575.0,1610.0,1510.0,1550.0,1550.0,378
2015-04-30,1585.0,1640.0,1550.0,1560.0,1560.0,364
2015-05-04,1575.0,1630.0,1565.0,1605.0,1605.0,265
2015-05-05,1625.0,1680.0,1605.0,1620.0,1620.0,165
2015-05-06,1625.0,1675.0,1560.0,1565.0,1565.0,286
2015-05-07,1545.0,1595.0,1525.0,1550.0,1550.0,178
2015-05-08,1555.0,1585.0,1535.0,1540.0,1540.0,165
2015-05-11,1600.0,1600.0,1545.0,1550.0,1550.0,330
