"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 29-Aug-2023"
"NIFTY 50","25,035.30","25,192.90","24,998.50","25,052.35","25,151.95","99.60","0.40","35,39,93,900","43,221.56","25,192.90","18,837.85","1.27","30.03"
"TATAMOTORS","1,079.05","1,142.00","1,066.00","1,074.55","1,112.90","38.35","3.57","4,06,58,159","4,509.27","1,179.00","599.05","-0.21","84.74"
"BAJAJFINSV","1,716.00","1,772.00","1,711.55","1,713.50","1,758.30","44.80","2.61","55,08,206","966.75","1,772.00","1,419.05","8.56","16.77"
"BRITANNIA","5,710.00","5,845.00","5,696.15","5,703.35","5,842.85","139.50","2.45","3,51,330","203.81","6,005.00","4,347.70","-1.12","28.71"
"BAJFINANCE","6,889.05","7,158.00","6,881.55","6,900.00","7,066.65","166.65","2.42","26,39,159","1,865.35","8,192.00","6,187.80","3.69","-3.15"
"BPCL","349.80","357.55","347.15","348.15","356.50","8.35","2.40","1,30,54,801","460.78","359.05","165.73","5.49","-0.10"
"HCLTECH","1,714.00","1,756.00","1,697.25","1,719.45","1,750.45","31.00","1.80","51,12,407","891.24","1,756.85","1,148.30","7.32","51.34"
"BAJAJ-AUTO","10,582.05","10,850.00","10,555.40","10,656.75","10,835.90","179.15","1.68","6,93,506","746.68","10,850.00","4,602.20","13.08","131.70"
"ITC","498.00","507.70","497.35","497.30","505.00","7.70","1.55","1,86,70,632","940.48","510.65","399.35","1.82","14.77"
"RELIANCE","3,006.20","3,074.00","2,988.00","2,996.60","3,042.90","46.30","1.55","1,91,67,679","5,824.23","3,217.60","2,220.30","0.05","25.68"
"APOLLOHOSP","6,799.90","6,907.35","6,760.30","6,776.45","6,878.80","102.35","1.51","6,59,960","451.11","6,927.40","4,726.00","2.63","40.56"
"HEROMOTOCO","5,300.00","5,387.30","5,290.90","5,311.40","5,379.00","67.60","1.27","5,16,725","276.18","5,894.55","2,890.05","-0.92","79.86"
"TECHM","1,620.05","1,656.25","1,620.05","1,627.35","1,647.00","19.65","1.21","21,94,339","360.47","1,665.00","1,098.15","8.00","37.51"
"WIPRO","535.00","541.95","534.05","534.60","538.80","4.20","0.79","1,28,42,659","690.76","579.90","375.05","2.73","32.00"
"SBIN","809.55","816.00","806.95","809.40","815.70","6.30","0.78","1,82,47,268","1,483.47","912.00","543.20","-6.55","41.69"
"ADANIPORTS","1,472.05","1,483.00","1,452.60","1,469.80","1,481.00","11.20","0.76","33,59,850","493.69","1,621.40","754.50","-4.69","79.23"
"MARUTI","12,343.00","12,480.00","12,250.00","12,357.50","12,450.00","92.50","0.75","6,08,598","751.39","13,680.00","9,506.00","-2.34","29.44"
"HINDUNILVR","2,769.95","2,810.00","2,745.00","2,764.35","2,784.35","20.00","0.72","21,29,934","593.28","2,834.95","2,172.05","2.72","10.26"
"BHARTIARTL","1,565.00","1,571.70","1,545.95","1,556.35","1,565.00","8.65","0.56","80,36,748","1,254.62","1,571.70","847.05","5.71","83.10"
"COALINDIA","526.35","530.00","516.10","526.35","529.15","2.80","0.53","91,47,836","478.80","543.55","228.40","3.01","129.42"
"NESTLEIND","2,498.90","2,519.45","2,490.65","2,492.50","2,505.00","12.50","0.50","8,99,794","225.38","2,769.30","2,163.25","1.39","-88.65"
"NTPC","409.05","412.60","403.75","409.05","411.10","2.05","0.50","1,90,14,705","777.25","426.30","216.15","4.06","85.39"
"TITAN","3,537.00","3,553.75","3,510.00","3,527.50","3,544.85","17.35","0.49","9,27,472","327.44","3,886.95","3,044.00","3.56","14.74"
"ONGC","326.10","330.15","324.95","327.80","329.10","1.30","0.40","1,37,99,961","452.43","345.00","173.05","-0.99","87.59"
"AXISBANK","1,169.00","1,179.90","1,163.40","1,170.95","1,175.00","4.05","0.35","72,90,114","855.32","1,339.65","951.40","0.46","19.85"
"HDFCBANK","1,642.00","1,644.40","1,631.15","1,637.10","1,639.95","2.85","0.17","2,45,26,302","4,016.30","1,794.00","1,363.55","2.09","3.03"
"POWERGRID","332.50","335.90","328.80","334.45","335.00","0.55","0.16","1,76,53,536","586.38","362.50","182.67","-2.64","32.71"
"LT","3,690.50","3,710.00","3,651.55","3,689.05","3,690.00","0.95","0.03","21,65,489","797.84","3,919.90","2,678.35","-2.42","35.47"
"TCS","4,460.00","4,556.00","4,460.00","4,506.05","4,507.00","0.95","0.02","21,33,641","963.49","4,565.00","3,311.00","2.98","33.64"
"INDUSINDBK","1,414.20","1,423.05","1,405.25","1,415.75","1,415.50","-0.25","-0.02","33,16,387","469.58","1,694.50","1,329.20","0.42","1.24"
"SHRIRAMFIN","3,199.00","3,262.00","3,174.55","3,201.85","3,200.00","-1.85","-0.06","11,95,285","383.91","3,268.90","1,760.85","8.75","70.94"
"ICICIBANK","1,218.95","1,235.00","1,217.00","1,223.85","1,222.75","-1.10","-0.09","1,08,06,748","1,324.28","1,257.80","899.00","0.76","26.26"
"SBILIFE","1,840.00","1,867.75","1,835.50","1,843.70","1,841.75","-1.95","-0.11","22,48,185","415.77","1,867.75","1,264.35","5.55","42.13"
"LTIM","6,114.00","6,150.00","6,055.05","6,127.55","6,120.10","-7.45","-0.12","6,13,085","374.01","6,442.00","4,513.55","5.97","19.38"
"CIPLA","1,622.00","1,642.30","1,609.00","1,618.20","1,616.00","-2.20","-0.14","27,49,546","446.34","1,642.30","1,132.00","4.16","31.62"
"ADANIENT","3,030.00","3,041.95","2,981.30","3,028.00","3,022.00","-6.00","-0.20","18,53,966","557.55","3,743.90","2,142.00","-2.24","20.50"
"ULTRACEMCO","11,230.00","11,256.70","11,115.40","11,234.80","11,210.00","-24.80","-0.22","4,06,261","453.73","12,078.00","8,045.05","-5.49","36.86"
"HDFCLIFE","740.00","748.50","731.85","742.10","740.00","-2.10","-0.28","39,62,913","293.42","748.50","511.40","5.75","16.07"
"DIVISLAB","5,049.90","5,077.35","4,990.05","5,030.70","5,014.50","-16.20","-0.32","4,30,810","216.27","5,096.00","3,295.30","1.80","37.06"
"ASIANPAINT","3,125.50","3,143.95","3,092.70","3,125.50","3,115.00","-10.50","-0.34","8,49,866","264.80","3,422.95","2,670.10","5.45","-5.17"
"TATASTEEL","153.21","153.56","151.20","153.70","153.15","-0.55","-0.36","4,44,52,983","678.53","184.60","114.60","-6.08","27.95"
"INFY","1,933.00","1,950.50","1,920.90","1,939.10","1,930.20","-8.90","-0.46","72,28,284","1,399.45","1,951.00","1,351.65","3.33","36.38"
"TATACONSUM","1,201.15","1,208.90","1,185.25","1,201.15","1,195.00","-6.15","-0.51","10,62,444","127.17","1,256.44","820.84","-0.25","42.97"
"DRREDDY","6,898.30","7,019.95","6,889.10","6,999.30","6,955.00","-44.30","-0.63","3,56,832","247.26","7,107.45","5,205.55","1.33","21.09"
"SUNPHARMA","1,809.90","1,826.85","1,790.25","1,811.85","1,799.80","-12.05","-0.67","32,05,924","578.55","1,826.85","1,068.35","4.41","61.86"
